iter	Passed	Remaining
0	156	156677
1	165	82801
2	175	58400
3	185	46147
4	194	38772
5	205	33975
6	214	30464
7	223	27750
8	233	25668
9	242	23991
10	251	22634
11	261	21499
12	271	20608
13	280	19775
14	290	19061
15	300	18451
16	309	17910
17	318	17401
18	328	16958
19	337	16547
20	347	16182
21	355	15800
22	364	15493
23	374	15246
24	384	14978
25	393	14728
26	403	14529
27	412	14326
28	422	14139
29	432	13981
30	441	13810
31	455	13771
32	464	13617
33	474	13476
34	484	13344
35	493	13213
36	502	13080
37	511	12960
38	521	12840
39	530	12729
40	539	12628
41	549	12524
42	558	12426
43	567	12327
44	577	12264
45	587	12182
46	597	12110
47	605	12004
48	614	11934
49	625	11878
50	634	11804
51	645	11768
52	655	11708
53	664	11644
54	674	11581
55	683	11525
56	692	11460
57	701	11400
58	710	11335
59	720	11283
60	729	11233
61	739	11185
62	749	11148
63	759	11102
64	769	11062
65	779	11025
66	788	10976
67	797	10932
68	807	10891
69	816	10841
70	827	10822
71	838	10804
72	848	10771
73	858	10745
74	868	10711
75	878	10677
76	887	10640
77	896	10602
78	906	10568
79	916	10540
80	927	10524
81	938	10502
82	948	10474
83	957	10445
84	967	10416
85	977	10388
86	987	10361
87	996	10329
88	1005	10295
89	1016	10276
90	1025	10246
91	1036	10234
92	1047	10217
93	1059	10213
94	1071	10204
95	1080	10175
96	1092	10171
97	1104	10169
98	1118	10176
99	1128	10155
100	1139	10141
101	1149	10122
102	1159	10094
103	1169	10079
104	1179	10054
105	1189	10028
106	1198	10001
107	1208	9977
108	1218	9958
109	1228	9936
110	1238	9916
111	1247	9890
112	1257	9867
113	1266	9845
114	1276	9823
115	1286	9801
116	1295	9776
117	1304	9748
118	1313	9724
119	1322	9701
120	1332	9678
121	1341	9655
122	1350	9630
123	1360	9613
124	1372	9607
125	1381	9585
126	1392	9574
127	1402	9556
128	1412	9537
129	1423	9524
130	1433	9507
131	1441	9482
132	1451	9461
133	1461	9445
134	1470	9424
135	1479	9401
136	1488	9377
137	1498	9358
138	1508	9344
139	1517	9324
140	1527	9302
141	1536	9282
142	1546	9265
143	1555	9247
144	1565	9228
145	1574	9207
146	1582	9184
147	1592	9167
148	1600	9143
149	1610	9124
150	1619	9103
151	1627	9081
152	1638	9070
153	1647	9049
154	1656	9031
155	1665	9011
156	1673	8986
157	1683	8969
158	1692	8951
159	1701	8933
160	1711	8916
161	1719	8897
162	1729	8880
163	1738	8860
164	1747	8843
165	1756	8826
166	1766	8809
167	1779	8811
168	1788	8796
169	1797	8776
170	1806	8757
171	1820	8764
172	1830	8748
173	1842	8746
174	1852	8733
175	1858	8702
176	1868	8688
177	1877	8672
178	1887	8658
179	1896	8638
180	1905	8621
181	1916	8613
182	1926	8601
183	1937	8593
184	1947	8580
185	1956	8562
186	1966	8550
187	1975	8534
188	1984	8516
189	1994	8502
190	2003	8486
191	2013	8473
192	2022	8456
193	2031	8440
194	2040	8422
195	2049	8407
196	2058	8392
197	2068	8378
198	2077	8363
199	2088	8352
200	2097	8336
201	2106	8320
202	2115	8305
203	2124	8288
204	2133	8274
205	2142	8258
206	2152	8246
207	2162	8234
208	2171	8219
209	2180	8204
210	2189	8187
211	2199	8173
212	2208	8158
213	2217	8143
214	2226	8128
215	2235	8114
216	2245	8103
217	2254	8088
218	2264	8074
219	2273	8060
220	2282	8045
221	2292	8033
222	2301	8019
223	2314	8018
224	2323	8003
225	2332	7987
226	2342	7975
227	2350	7960
228	2360	7946
229	2370	7934
230	2378	7919
231	2387	7905
232	2396	7888
233	2405	7874
234	2414	7859
235	2423	7846
236	2433	7833
237	2441	7816
238	2451	7805
239	2460	7791
240	2469	7777
241	2479	7765
242	2488	7751
243	2498	7740
244	2507	7727
245	2516	7714
246	2525	7700
247	2534	7685
248	2543	7671
249	2551	7653
250	2561	7642
251	2571	7632
252	2580	7620
253	2590	7608
254	2599	7594
255	2608	7580
256	2617	7568
257	2626	7554
258	2637	7546
259	2646	7531
260	2654	7517
261	2664	7505
262	2673	7493
263	2683	7480
264	2692	7468
265	2701	7455
266	2710	7442
267	2720	7429
268	2729	7416
269	2738	7402
270	2747	7390
271	2757	7379
272	2766	7367
273	2775	7354
274	2784	7339
275	2792	7324
276	2805	7321
277	2815	7312
278	2826	7304
279	2840	7304
280	2853	7302
281	2865	7297
282	2876	7287
283	2887	7278
284	2898	7272
285	2909	7264
286	2919	7253
287	2929	7242
288	2939	7231
289	2949	7220
290	2960	7212
291	2968	7196
292	2976	7182
293	2985	7168
294	2993	7153
295	3004	7145
296	3013	7131
297	3022	7119
298	3031	7107
299	3040	7094
300	3050	7083
301	3059	7070
302	3068	7058
303	3077	7045
304	3086	7033
305	3094	7018
306	3102	7003
307	3111	6991
308	3121	6979
309	3129	6966
310	3137	6951
311	3146	6938
312	3156	6927
313	3165	6914
314	3173	6901
315	3182	6889
316	3192	6877
317	3200	6864
318	3209	6852
319	3218	6838
320	3227	6826
321	3236	6814
322	3246	6803
323	3253	6788
324	3262	6775
325	3271	6764
326	3279	6749
327	3289	6738
328	3297	6726
329	3306	6713
330	3315	6700
331	3327	6695
332	3336	6683
333	3345	6671
334	3355	6661
335	3367	6655
336	3378	6645
337	3387	6634
338	3395	6621
339	3403	6605
340	3413	6596
341	3421	6583
342	3431	6572
343	3439	6559
344	3449	6549
345	3459	6538
346	3468	6526
347	3478	6517
348	3488	6506
349	3497	6494
350	3506	6484
351	3516	6472
352	3525	6461
353	3533	6448
354	3542	6436
355	3552	6425
356	3561	6414
357	3570	6403
358	3579	6391
359	3589	6381
360	3599	6371
361	3609	6362
362	3619	6350
363	3630	6342
364	3639	6331
365	3648	6319
366	3657	6308
367	3667	6297
368	3677	6288
369	3687	6278
370	3696	6267
371	3705	6256
372	3715	6245
373	3724	6233
374	3732	6221
375	3742	6210
376	3751	6199
377	3760	6187
378	3769	6176
379	3778	6164
380	3789	6156
381	3803	6153
382	3815	6147
383	3827	6140
384	3840	6135
385	3852	6127
386	3868	6128
387	3882	6124
388	3891	6112
389	3901	6101
390	3911	6092
391	3920	6080
392	3928	6068
393	3937	6056
394	3946	6044
395	3955	6032
396	3963	6020
397	3972	6009
398	3981	5997
399	3991	5986
400	4000	5976
401	4010	5966
402	4020	5956
403	4030	5945
404	4039	5934
405	4050	5926
406	4060	5916
407	4069	5905
408	4079	5894
409	4088	5884
410	4098	5874
411	4108	5863
412	4116	5851
413	4126	5840
414	4135	5830
415	4144	5818
416	4153	5807
417	4162	5795
418	4171	5783
419	4180	5773
420	4190	5763
421	4199	5752
422	4208	5741
423	4217	5729
424	4225	5716
425	4234	5705
426	4243	5694
427	4251	5682
428	4260	5671
429	4270	5660
430	4279	5650
431	4288	5638
432	4297	5627
433	4306	5616
434	4315	5605
435	4324	5594
436	4333	5583
437	4343	5572
438	4351	5561
439	4361	5551
440	4371	5541
441	4380	5529
442	4389	5519
443	4398	5507
444	4407	5496
445	4415	5485
446	4425	5474
447	4435	5464
448	4444	5454
449	4455	5445
450	4467	5438
451	4479	5430
452	4489	5420
453	4500	5412
454	4512	5404
455	4523	5396
456	4532	5385
457	4541	5374
458	4551	5364
459	4560	5353
460	4569	5342
461	4578	5332
462	4587	5321
463	4596	5309
464	4605	5298
465	4614	5287
466	4625	5278
467	4633	5266
468	4642	5255
469	4651	5245
470	4660	5234
471	4673	5227
472	4682	5216
473	4691	5206
474	4700	5195
475	4709	5184
476	4718	5173
477	4727	5162
478	4736	5152
479	4746	5142
480	4755	5130
481	4765	5121
482	4778	5114
483	4789	5105
484	4799	5096
485	4809	5087
486	4820	5078
487	4831	5068
488	4840	5058
489	4849	5047
490	4860	5038
