iter	Logloss
0	0.6771919455
1	0.6633445816
2	0.6509204434
3	0.6385989926
4	0.6273826263
5	0.6166828308
6	0.6071259966
7	0.5985040237
8	0.5895208944
9	0.5812653932
10	0.5731407123
11	0.5664950794
12	0.5598719622
13	0.5541847897
14	0.5490334245
15	0.5443905185
16	0.5394004652
17	0.5351937373
18	0.5311471818
19	0.5264010183
20	0.5220207952
21	0.5188183552
22	0.5159402835
23	0.5132909926
24	0.5097620466
25	0.5073217463
26	0.5050357317
27	0.5023696018
28	0.5004544512
29	0.4988002937
30	0.4968734234
31	0.4950664203
32	0.4932410493
33	0.4912972617
34	0.4895613784
35	0.4877156267
36	0.4867459759
37	0.485225176
38	0.4838733071
39	0.4822653524
40	0.4811669674
41	0.4801603761
42	0.4789776867
43	0.4781474591
44	0.4769158451
45	0.47634118
46	0.4759163248
47	0.4750477312
48	0.4739666791
49	0.4730914614
50	0.4725636244
51	0.4719650441
52	0.4714116198
53	0.4707556363
54	0.4700787792
55	0.4693719202
56	0.4686659222
57	0.4679086751
58	0.4673928059
59	0.466988494
60	0.4664293877
61	0.4660921485
62	0.4655824558
63	0.4649465872
64	0.4646664382
65	0.4642937656
66	0.463946822
67	0.4635826781
68	0.4631678565
69	0.4627766614
70	0.4624455388
71	0.462126326
72	0.4618321852
73	0.4615975242
74	0.4611201479
75	0.4607239512
76	0.4605028778
77	0.4602427486
78	0.4600037976
79	0.4597027435
80	0.4594890018
81	0.4592292155
82	0.4589782191
83	0.4587220745
84	0.4583897373
85	0.45815743
86	0.4579694923
87	0.4577662276
88	0.4575866144
89	0.4572319245
90	0.4569909528
91	0.4566952286
92	0.4563896889
93	0.4560474901
94	0.4557158228
95	0.4554893125
96	0.4552992856
97	0.4551263371
98	0.4549125533
99	0.4546852282
100	0.4544952099
101	0.4543093847
102	0.4541490271
103	0.4539277402
104	0.4537334628
105	0.453561694
106	0.4532553535
107	0.4531221108
108	0.4529155447
109	0.4527327885
110	0.4525863806
111	0.4525195583
112	0.4523815649
113	0.4522471028
114	0.4520582194
115	0.4518815679
116	0.4517539576
117	0.4515760455
118	0.4514560952
119	0.4512377519
120	0.4510550531
121	0.4508824165
122	0.4507475012
123	0.4505674147
124	0.4503799509
125	0.450186944
126	0.4500355386
127	0.4498778965
128	0.4497014268
129	0.4495864416
130	0.4494157292
131	0.4492389656
132	0.4491002498
133	0.4489564194
134	0.4487773625
135	0.4486147151
136	0.4484273412
137	0.4482753196
138	0.4481573888
139	0.4479881275
140	0.4478317588
141	0.4476309766
142	0.4474728251
143	0.4473063472
144	0.4473009019
145	0.447192505
146	0.4469524041
147	0.4468515403
148	0.4466725739
149	0.4465912637
150	0.4464682171
151	0.4463461369
152	0.4462309235
153	0.4460978854
154	0.4459562208
155	0.4458459661
156	0.4457027268
157	0.4455873759
158	0.4454739865
159	0.4453380221
160	0.4452574607
161	0.4451108418
162	0.4449646477
163	0.4448426987
164	0.4447402598
165	0.4445895813
166	0.4444701276
167	0.444379383
168	0.4442473258
169	0.4441136655
170	0.4439829706
171	0.443884474
172	0.4437797165
173	0.4436531435
174	0.4435434804
175	0.4434356892
176	0.4433449779
177	0.4432315768
178	0.4431050629
179	0.4429851937
180	0.4429109255
181	0.4427890328
182	0.4427132232
183	0.4426085616
184	0.4424515735
185	0.4423357449
186	0.4422515056
187	0.4421842697
188	0.4420706342
189	0.4419476467
190	0.4417928572
191	0.4416804258
192	0.4416020349
193	0.4414701228
194	0.4413704085
195	0.4411799053
196	0.4411011239
