iter	Passed	Remaining
403	11274	16633
404	11299	16601
405	11336	16586
406	11369	16564
407	11394	16533
408	11421	16503
409	11449	16475
410	11486	16461
411	11511	16429
412	11535	16395
413	11560	16363
414	11584	16330
415	11634	16332
416	11659	16301
417	11686	16271
418	11732	16269
419	11758	16237
420	11801	16230
421	11826	16198
422	11852	16167
423	11902	16169
424	11927	16136
425	11950	16102
426	11994	16095
427	12049	16103
428	12074	16071
429	12099	16039
430	12125	16007
431	12169	16000
432	12194	15968
433	12220	15937
434	12250	15910
435	12274	15877
436	12299	15845
437	12342	15836
438	12367	15804
439	12392	15772
440	12418	15740
441	12447	15713
442	12487	15701
443	12512	15668
444	12536	15635
445	12562	15603
446	12600	15588
447	12639	15573
448	12671	15550
449	12713	15538
450	12739	15507
451	12765	15476
452	12789	15443
453	12815	15412
454	12855	15398
455	12880	15366
456	12906	15334
457	12932	15304
458	12955	15270
459	12982	15240
460	13008	15209
461	13032	15175
462	13057	15144
463	13082	15113
464	13125	15100
465	13156	15076
466	13181	15044
467	13207	15013
468	13232	14981
469	13258	14950
470	13282	14918
471	13317	14897
472	13341	14865
473	13367	14833
474	13391	14801
475	13415	14768
476	13467	14766
477	13494	14736
478	13532	14718
479	13557	14687
480	13611	14687
481	13651	14671
482	13692	14656
483	13722	14630
484	13759	14610
485	13800	14595
486	13833	14572
487	13858	14540
488	13897	14522
489	13932	14501
490	13957	14469
491	13983	14438
492	14008	14406
493	14033	14374
494	14058	14342
495	14082	14310
496	14115	14286
497	14141	14255
498	14167	14224
499	14192	14192
500	14226	14169
501	14274	14160
502	14298	14128
503	14323	14096
504	14349	14065
505	14394	14053
506	14420	14021
507	14454	13998
508	14479	13967
509	14520	13950
510	14581	13953
511	14606	13921
512	14631	13889
513	14657	13858
514	14682	13827
515	14709	13797
516	14762	13791
517	14795	13767
518	14820	13735
519	14846	13704
520	14874	13675
521	14899	13643
522	14924	13612
523	14950	13580
524	14976	13550
525	15001	13518
526	15027	13487
527	15052	13455
528	15076	13423
529	15100	13391
530	15127	13361
531	15152	13330
532	15178	13298
533	15212	13275
534	15237	13244
535	15264	13213
536	15302	13194
537	15328	13162
538	15354	13132
539	15385	13106
540	15409	13074
541	15434	13042
542	15461	13012
543	15486	12980
544	15511	12950
545	15537	12919
546	15570	12894
547	15595	12863
548	15621	12832
549	15645	12800
550	15691	12786
551	15731	12767
552	15757	12736
553	15781	12705
554	15807	12674
555	15833	12644
556	15874	12625
557	15900	12595
558	15935	12571
559	15967	12545
560	15991	12514
561	16017	12483
562	16042	12452
563	16067	12420
564	16092	12389
565	16133	12370
566	16158	12339
567	16184	12309
568	16208	12277
569	16232	12245
570	16257	12214
571	16282	12183
572	16307	12152
573	16333	12121
574	16358	12091
575	16385	12061
576	16423	12040
577	16448	12009
578	16472	11977
579	16497	11946
580	16524	11917
581	16549	11886
582	16574	11855
583	16598	11823
584	16630	11797
585	16656	11767
586	16681	11736
587	16705	11704
588	16730	11674
589	16756	11644
590	16781	11613
591	16806	11582
592	16846	11562
593	16871	11531
594	16896	11501
595	16921	11470
596	16946	11439
597	16971	11408
598	16996	11378
599	17023	11348
600	17048	11318
601	17105	11308
602	17130	11278
603	17162	11252
604	17198	11228
605	17223	11197
606	17248	11167
607	17304	11156
608	17328	11125
609	17371	11106
610	17422	11092
611	17448	11061
612	17473	11031
613	17498	11000
614	17537	10978
615	17561	10947
616	17585	10915
617	17609	10884
618	17635	10854
619	17670	10830
620	17694	10799
621	17721	10769
622	17746	10739
623	17782	10715
624	17808	10684
625	17835	10655
626	17862	10626
627	17889	10596
628	17914	10566
629	17938	10535
630	17961	10503
631	17985	10472
632	18011	10442
633	18051	10420
634	18077	10390
635	18102	10360
636	18126	10329
637	18149	10298
638	18176	10268
639	18202	10238
640	18227	10208
641	18253	10178
642	18282	10150
643	18306	10119
644	18333	10090
645	18360	10061
646	18385	10030
647	18410	10000
648	18435	9970
649	18471	9946
650	18507	9921
651	18565	9909
652	18590	9878
653	18615	9848
654	18640	9818
655	18665	9788
656	18691	9758
657	18724	9732
658	18751	9702
659	18776	9672
660	18802	9643
661	18837	9618
662	18867	9590
663	18897	9562
664	18923	9532
665	18952	9504
666	18979	9475
667	19006	9446
668	19032	9416
669	19056	9385
670	19123	9376
671	19149	9346
672	19173	9316
673	19199	9286
674	19226	9257
675	19250	9226
676	19275	9196
677	19301	9166
678	19350	9147
679	19391	9125
680	19415	9094
681	19441	9064
682	19467	9035
683	19493	9005
684	19518	8975
685	19546	8946
686	19569	8916
687	19594	8886
688	19619	8855
689	19645	8826
690	19671	8796
691	19696	8766
692	19723	8737
693	19751	8708
694	19777	8679
695	19802	8649
696	19828	8619
697	19856	8591
698	19894	8566
699	19920	8537
700	19957	8512
701	19982	8482
702	20008	8452
703	20033	8423
704	20080	8402
705	20106	8373
706	20133	8344
707	20174	8320
708	20208	8294
709	20233	8264
710	20262	8235
711	20286	8205
712	20320	8179
713	20356	8154
714	20382	8124
715	20408	8094
716	20456	8073
717	20503	8052
718	20529	8023
719	20554	7993
720	20579	7963
721	20609	7935
722	20635	7905
723	20661	7876
724	20703	7853
725	20729	7823
726	20755	7794
727	20781	7764
728	20807	7735
729	20841	7708
730	20866	7678
731	20903	7653
732	20928	7623
733	20953	7593
734	20977	7563
735	21003	7533
736	21029	7504
737	21066	7478
738	21091	7449
739	21116	7419
740	21142	7389
741	21170	7361
742	21198	7332
743	21241	7309
744	21265	7278
745	21290	7249
746	21316	7219
747	21347	7191
748	21378	7164
749	21414	7138
750	21442	7109
751	21468	7079
752	21494	7050
753	21523	7022
754	21559	6996
755	21588	6967
756	21617	6939
757	21652	6912
758	21679	6883
759	21709	6855
760	21742	6828
761	21773	6800
762	21801	6771
763	21839	6746
764	21875	6719
765	21904	6691
766	21955	6669
767	21981	6640
768	22017	6613
769	22045	6585
770	22072	6555
771	22101	6527
772	22129	6498
773	22154	6468
774	22180	6439
775	22208	6410
776	22237	6382
777	22264	6353
778	22297	6325
779	22328	6297
780	22366	6271
781	22393	6242
782	22430	6216
783	22457	6187
784	22488	6159
785	22517	6130
786	22557	6105
787	22589	6077
788	22619	6048
789	22645	6019
790	22679	5992
791	22709	5964
792	22736	5934
793	22762	5905
794	22791	5876
795	22824	5849
796	22857	5821
797	22885	5793
798	22913	5764
799	22941	5735
800	22978	5708
801	23004	5679
802	23049	5654
803	23079	5626
804	23105	5597
805	23134	5568
806	23164	5540
807	23195	5511
808	23225	5483
809	23254	5454
810	23282	5425
811	23314	5397
812	23344	5369
813	23373	5340
814	23410	5314
815	23460	5290
816	23489	5261
817	23517	5232
818	23545	5203
819	23571	5174
820	23599	5145
821	23631	5117
822	23658	5088
823	23685	5059
824	23713	5030
825	23744	5001
826	23774	4973
827	23826	4949
828	23860	4921
829	23891	4893
830	23918	4864
831	23948	4835
832	23992	4810
833	24023	4781
834	24055	4753
835	24087	4725
836	24114	4696
837	24141	4667
838	24182	4640
839	24211	4611
840	24238	4582
841	24265	4553
842	24293	4524
843	24320	4495
844	24348	4466
845	24375	4437
846	24402	4408
847	24429	4378
848	24457	4349
849	24484	4320
850	24514	4292
851	24548	4264
852	24597	4238
853	24624	4209
854	24652	4180
855	24683	4152
856	24709	4123
857	24737	4094
858	24769	4065
859	24801	4037
860	24832	4008
861	24860	3979
862	24885	3950
863	24912	3921
864	24940	3892
865	24966	3863
866	24994	3834
867	25029	3806
868	25060	3777
869	25088	3748
870	25131	3722
871	25174	3695
872	25206	3666
873	25246	3639
874	25271	3610
875	25296	3580
876	25321	3551
877	25347	3522
878	25377	3493
879	25402	3464
880	25450	3437
881	25485	3409
882	25515	3380
883	25548	3352
884	25586	3324
885	25611	3295
886	25637	3266
887	25662	3236
888	25702	3209
889	25727	3179
890	25752	3150
891	25779	3121
892	25820	3093
893	25875	3068
894	25909	3039
895	25934	3010
896	25958	2980
897	25984	2951
898	26009	2922
899	26053	2894
900	26082	2865
901	26107	2836
902	26133	2807
903	26159	2777
904	26192	2749
905	26216	2720
906	26255	2692
907	26278	2662
908	26303	2633
909	26333	2604
910	26359	2575
911	26384	2545
912	26409	2516
913	26435	2487
914	26461	2458
915	26488	2429
916	26514	2399
917	26540	2370
918	26566	2341
919	26609	2313
920	26634	2284
921	26660	2255
922	26686	2226
923	26713	2197
924	26739	2168
925	26776	2139
926	26804	2110
927	26831	2081
928	26856	2052
929	26888	2023
930	26911	1994
931	26935	1965
932	26960	1936
933	26986	1906
934	27011	1877
935	27036	1848
936	27082	1820
937	27107	1791
938	27132	1762
939	27178	1734
940	27203	1705
941	27244	1677
942	27269	1648
943	27304	1619
944	27349	1591
945	27376	1562
946	27403	1533
947	27429	1504
948	27456	1475
949	27481	1446
950	27506	1417
951	27532	1388
952	27564	1359
953	27589	1330
954	27627	1301
955	27652	1272
956	27691	1244
957	27715	1215
958	27740	1185
959	27766	1156
960	27794	1127
961	27841	1099
962	27867	1070
963	27892	1041
964	27918	1012
965	27947	983
966	27979	954
967	28005	925
968	28030	896
969	28058	867
970	28111	839
971	28136	810
972	28160	781
973	28185	752
974	28210	723
975	28241	694
976	28266	665
977	28290	636
978	28315	607
979	28359	578
980	28386	549
981	28410	520
982	28448	491
983	28484	463
984	28509	434
985	28553	405
986	28578	376
987	28606	347
988	28635	318
989	28659	289
990	28685	260
991	28711	231
992	28749	202
993	28779	173
994	28810	144
995	28842	115
996	28876	86
997	28900	57
998	28944	28
999	28988	0
