iter	Logloss
0	0.6869401479
1	0.6811688136
2	0.675974925
3	0.670371598
4	0.6652622843
5	0.660271088
6	0.6554340186
7	0.6512440621
8	0.6476940868
9	0.6440061332
10	0.6407813275
11	0.6372330389
12	0.6339975027
13	0.6307001238
14	0.627739185
15	0.6249819817
16	0.6222694983
17	0.6202092074
18	0.6174795029
19	0.6150454902
20	0.6127072057
21	0.6102295591
22	0.6082274358
23	0.6063667749
24	0.6044077288
25	0.6024376645
26	0.6005688225
27	0.5986597262
28	0.596697252
29	0.5951131246
30	0.5936832846
31	0.5920919009
32	0.5903348594
33	0.5889942433
34	0.5874322444
35	0.5860845324
36	0.5849719126
37	0.5837670392
38	0.5825937631
39	0.581658473
40	0.5809267191
41	0.5797489506
42	0.5788293843
43	0.5779630267
44	0.577017054
45	0.5762170468
46	0.5751419761
47	0.5742009793
48	0.5734686277
49	0.5726792818
50	0.5719270259
51	0.5713734054
52	0.5707154528
53	0.5700697974
54	0.5695324568
55	0.5689536782
56	0.5683375275
57	0.5678834186
58	0.5671511343
59	0.5666440338
60	0.5661124894
61	0.5657411105
62	0.5651148525
63	0.5647263035
64	0.5640530143
65	0.5635217168
66	0.5629994621
67	0.5625017966
68	0.5619344501
69	0.5615898544
70	0.5612229626
71	0.560769542
72	0.5603581748
73	0.559935837
74	0.5595964615
75	0.5592399299
76	0.5588835192
77	0.5584614543
78	0.5581124476
79	0.5577729818
80	0.5574077231
81	0.5571806361
82	0.5568459043
83	0.5567677202
84	0.5564305222
85	0.5562015705
86	0.5558627277
87	0.5554981332
88	0.5551240442
89	0.5549141888
90	0.5546188769
91	0.5544041643
92	0.5542188481
93	0.5540524318
94	0.5539563269
95	0.5536110327
96	0.5533752681
97	0.5531809854
98	0.552977345
99	0.5527723964
100	0.5525573422
101	0.5523309863
102	0.5521597647
103	0.5519640274
104	0.5516850054
105	0.5513686195
106	0.5512257862
107	0.5510048792
108	0.5507601117
109	0.5505615128
110	0.5503816367
111	0.550269141
112	0.5501613231
113	0.5500295102
114	0.5498940969
115	0.5496333
116	0.5494806576
117	0.5494127424
118	0.5493079983
119	0.5491609233
120	0.5489108503
121	0.5488945063
122	0.5487401021
123	0.5486295776
124	0.5484854681
125	0.5483764085
126	0.5481911176
127	0.5480525955
128	0.5478684906
129	0.5476697392
130	0.5474856999
131	0.5473245408
132	0.5472450944
133	0.5469666343
134	0.5467441369
135	0.5466002204
136	0.5464846667
137	0.5463405136
138	0.5461381476
139	0.5460233734
140	0.5458626052
141	0.5456906022
142	0.5454913055
143	0.5452916027
144	0.5451459501
145	0.5449558424
146	0.5448545794
147	0.5447223636
148	0.5445699042
149	0.5444226471
150	0.5442475695
151	0.5441611611
152	0.5439614546
153	0.5439455511
154	0.5438685938
155	0.5437838654
156	0.5437356078
157	0.5436762322
158	0.5435289005
159	0.5434247678
160	0.5432166685
161	0.5431234642
162	0.5429943082
163	0.5428374477
164	0.5427196035
165	0.5426196371
166	0.5424890271
167	0.5424358806
168	0.5423336639
169	0.5422421983
170	0.542168228
171	0.5420749588
172	0.5419784312
173	0.541845995
174	0.5416366721
175	0.5415813753
176	0.5414993541
177	0.5413929309
178	0.5413269295
179	0.5412557364
180	0.5410906292
181	0.5409157653
182	0.5408291487
183	0.5407144338
184	0.5405262681
185	0.5404056666
186	0.540269938
187	0.5402091446
188	0.5401017662
189	0.5400194584
190	0.5400020361
191	0.5398524401
192	0.5397679532
193	0.5396188556
194	0.5395284556
195	0.5394802604
196	0.539364055
197	0.5392486445
198	0.5391378212
199	0.5390015523
200	0.5388724163
201	0.538683773
202	0.5386705949
203	0.5385561593
204	0.538435139
205	0.538336742
206	0.5382827231
207	0.5381962516
208	0.5381021098
209	0.5379997872
210	0.5379274044
211	0.5377413303
212	0.537655595
213	0.5375960959
214	0.537482382
215	0.5374037776
216	0.5373569607
217	0.5371623903
218	0.5371223024
219	0.5368845757
220	0.5367363624
221	0.5366287691
222	0.5365472364
223	0.536492587
224	0.5364434213
225	0.5363503052
226	0.5362194362
227	0.5361498914
228	0.536003144
229	0.535927493
230	0.5358191183
231	0.5356760287
232	0.5356084097
233	0.5354504271
234	0.5352849735
235	0.5351668648
236	0.535027109
237	0.5349237379
238	0.5348609729
239	0.5348275328
240	0.5348235634
241	0.5347933317
242	0.5347283614
243	0.5346196606
244	0.534413975
245	0.5343410562
246	0.5342597422
247	0.5341083958
248	0.5339974331
249	0.5338376015
250	0.5337219853
251	0.533611137
252	0.5335502857
253	0.5335324965
254	0.5333953523
255	0.5332150389
256	0.5331902108
257	0.5330901054
258	0.5330187881
259	0.5329548726
260	0.5328887661
261	0.53276936
